관명,우편번호,주소
울산광역시지방경찰청 울산중부경찰서,44495,울산광역시 중구 번영로 620 (남외동)
인천광역시지방경찰청 인천강화경찰서,23031,인천광역시 강화군 강화읍 동문안길 17
인천광역시지방경찰청 인천계양경찰서,21066,인천광역시 계양구 계산새로 68 (계산동)
인천광역시지방경찰청 인천남동경찰서,21582,인천광역시 남동구 남동대로 668 (구월동)
인천광역시지방경찰청 인천논현경찰서,21650,인천광역시 남동구 논현고잔로 239 (논현동)
인천광역시지방경찰청 인천미추홀경찰서,22204,인천광역시 미추홀구 매소홀로290번길 32 (학익동)
인천광역시지방경찰청 인천부평경찰서,21334,인천광역시 부평구 길주로 511 (청천동)
인천광역시지방경찰청 인천삼산경찰서,21339,인천광역시 부평구 굴포로 104 (삼산동)
인천광역시지방경찰청 인천서부경찰서,22714,인천광역시 서구 탁옥로 77 (심곡동)
인천광역시지방경찰청 인천연수경찰서,21931,인천광역시 연수구 원인재로 138 (연수동)
인천광역시지방경찰청 인천중부경찰서,22313,인천광역시 중구 제물량로 237 (항동2가)
전라남도지방경찰청 강진경찰서,59228,전라남도 강진군 강진읍 탐진로 119
전라남도지방경찰청 고흥경찰서,59535,전라남도 고흥군 고흥읍 흥양길 42
전라남도지방경찰청 곡성경찰서,57534,전라남도 곡성군 곡성읍 중앙로 161
전라남도지방경찰청 광양경찰서,57749,전라남도 광양시 광양읍 제철로 16-16
전라남도지방경찰청 구례경찰서,57643,전라남도 구례군 구례읍 봉성로 74
전라남도지방경찰청 나주경찰서,58251,전라남도 나주시 영산로 5415-22 (성북동)
전라남도지방경찰청 담양경찰서,57347,전라남도 담양군 담양읍 무정로 15
전라남도지방경찰청 목포경찰서,58614,전라남도 목포시 동명로 124
전라남도지방경찰청 무안경찰서,58527,전라남도 무안군 무안읍 무안로 479
전라남도지방경찰청 보성경찰서,59455,전라남도 보성군 보성읍 중앙로 88
전라남도지방경찰청 순천경찰서,57923,전라남도 순천시 조비길 2 (가곡동)
전라남도지방경찰청 여수경찰서,59738,전라남도 여수시 하멜로 2 (고소동)
전라남도지방경찰청 영광경찰서,57036,전라남도 영광군 영광읍 중앙로 211
전라남도지방경찰청 영암경찰서,58417,전라남도 영암군 영암읍 남문로 19
전라남도지방경찰청 완도경찰서,59108,전라남도 완도군 완도읍 농공단지길 32
전라남도지방경찰청 장성경찰서,57219,전라남도 장성군 장성읍 영천로 164
전라남도지방경찰청 장흥경찰서,59330,전라남도 장흥군 장흥읍 읍성로 123
전라남도지방경찰청 진도경찰서,58928,전라남도 진도군 진도읍 남산2길 33
전라남도지방경찰청 함평경찰서,57149,전라남도 함평군 함평읍 중앙길 220
전라남도지방경찰청 해남경찰서,59038,전라남도 해남군 해남읍 영빈로 61
전라남도지방경찰청 화순경찰서,58119,전라남도 화순군 화순읍 자치샘로 29
전라북도지방경찰청 고창경찰서,56434,전라북도 고창군 고창읍 보릿골로 175
전라북도지방경찰청 군산경찰서,54035,전라북도 군산시 구암3.1로 82 (경암동)
전라북도지방경찰청 김제경찰서,54404,전라북도 김제시 중앙로 213 (신풍동)
전라북도지방경찰청 남원경찰서,55742,전라북도 남원시 교룡로 185 (향교동)
전라북도지방경찰청 무주경찰서,55515,전라북도 무주군 무주읍 한풍루로 408
전라북도지방경찰청 부안경찰서,56303,전라북도 부안군 행안면 염소로 33
전라북도지방경찰청 순창경찰서,56013,전라북도 순창군 구림면 구림로 3-2(임시청사)
전라북도지방경찰청 완주경찰서,55327,전라북도 완주군 봉동읍 봉동로 28
전라북도지방경찰청 익산경찰서,54654,전라북도 익산시 배산로 165-12 (모현동2가)
전라북도지방경찰청 임실경찰서,55927,전라북도 임실군 임실읍 호국로 1702
전라북도지방경찰청 장수경찰서,55632,전라북도 장수군 장수읍 신천로 8
전라북도지방경찰청 전주덕진경찰서,54876,전라북도 전주시 덕진구 온고을로 299 (팔복동3가)
전라북도지방경찰청 전주완산경찰서,55043,전라북도 전주시 완산구 전라감영로 66 (전동)
전라북도지방경찰청 정읍경찰서,56165,전라북도 정읍시 중앙1길 157 (장명동)
전라북도지방경찰청 진안경찰서,55429,전라북도 진안군 진안읍 우화산길 3
제주특별자치도지방경찰청 서귀포경찰서,63565,제주특별자치도 서귀포시 신중로 27 (법환동)
제주특별자치도지방경찰청 제주동부경찰서,63213,제주특별자치도 제주시 동광로 66 (이도이동)
제주특별자치도지방경찰청 제주서부경찰서,63057,제주특별자치도 제주시 애월읍 애조로 215
충청남도지방경찰청 공주경찰서,32543,충청남도 공주시 백제문화로 2148-15 (웅진동)
충청남도지방경찰청 금산경찰서,32722,충청남도 금산군 금산읍 인삼로 201
충청남도지방경찰청 논산경찰서,32937,충청남도 논산시 강경읍 계백로 159
충청남도지방경찰청 당진경찰서,31772,충청남도 당진시 무수동7길 144 (읍내동)
충청남도지방경찰청 보령경찰서,33465,충청남도 보령시 대천로 33 (대천동)
충청남도지방경찰청 부여경찰서,33169,충청남도 부여군 부여읍 성말로 4
충청남도지방경찰청 서산경찰서,31989,충청남도 서산시 안견로 327 (읍내동)
충청남도지방경찰청 서천경찰서,33669,충청남도 서천군 장항읍 신창동로 15
세종특별자치시지방경찰청 세종경찰서,30037,세종특별자치시 조치원읍 군청로 36
충청남도지방경찰청 아산경찰서,31580,충청남도 아산시 남부로 370-15 (풍기동)
충청남도지방경찰청 예산경찰서,32435,충청남도 예산군 예산읍 사직로 5
충청남도지방경찰청 천안동남경찰서,31198,충청남도 천안시 동남구 청수6로 73 (청당동)
충청남도지방경찰청 천안서북경찰서,31076,충청남도 천안시 서북구 번영로 705 (업성동)
충청남도지방경찰청 청양경찰서,33321,충청남도 청양군 청양읍 충절로 1317
충청남도지방경찰청 태안경찰서,32142,충청남도 태안군 동백로 112
충청남도지방경찰청 홍성경찰서,32244,충청남도 홍성군 홍성읍 충서로 1254
충청북도지방경찰청 괴산경찰서,28029,충청북도 괴산군 괴산읍 읍내로11길 26
충청북도지방경찰청 단양경찰서,27010,충청북도 단양군 단양읍 중앙1로 3
충청북도지방경찰청 보은경찰서,28952,충청북도 보은군 보은읍 장신로 8
충청북도지방경찰청 영동경찰서,29146,충청북도 영동군 영동읍 영산로 32
충청북도지방경찰청 옥천경찰서,29047,충청북도 옥천군 옥천읍 중앙로 20
충청북도지방경찰청 음성경찰서,27706,충청북도 음성군 음성읍 중앙로 26
충청북도지방경찰청 제천경찰서,27187,충청북도 제천시 용두대로 27 (하소동)
충청북도지방경찰청 진천경찰서,27834,충청북도 진천군 진천읍 중앙동로 68
충청북도지방경찰청 청주상당경찰서,28758,충청북도 청주시 상당구 목련로 266 (운동동)
충청북도지방경찰청 청주청원경찰서,28488,충청북도 청주시 청원구 향군로 60 (우암동)
충청북도지방경찰청 청주흥덕경찰서,28462,충청북도 청주시 흥덕구 월명로236번길 15 (봉명동)
충청북도지방경찰청 충주경찰서,27379,충청북도 충주시 예성로 218 (교현동)
울산광역시지방경찰청 울산북부경찰서,44236,울산광역시 북구 화동로 67 (화봉동)
경기도북부지방경찰청 남양주북부경찰서,12067,경기도 남양주시 진건오남로 1019
