구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
보물,1801,대구 보성선원 목조석가여래삼존좌상 및 복장유물,"불상3점,복장유물10건129점",달서구,달서구 송현로8안길 35,2013-04-29
보물,1802,대구 보성선원 목조석가여래삼존좌상 복장전적,4건4점,달서구,수성구 청호로321(황금동) 국립대구박물관,2013-04-29
보물,1813,대구 용연사 목조아미타여래삼존좌상 및 복장유물,"불상3점,복장유물11점",달성군,달성군 옥포면 용연사길 260,2014-01-20
보물,1814,대구 운흥사 목조아미타여래삼존좌상,"불상3점,발원문1점",달성군,달성군 가창면 헐티로 1068,2014-01-20
보물,1850,대구 파계사 원통전,1동,동구,동구 파계로 741,2014-12-29
보물,1856,대구 서봉사 지장시왕도,1폭,남구,남구 명덕로54길 34(이천동),2015-03-04
보물,1892,익재난고 권6~7,2권1책,달서구,달서구 달구벌대로1095 계명대학교,2016-02-22
보물,1893,역옹패설,4권1책,달서구,달서구 달구벌대로1095 계명대학교,2016-02-22
보물,1894,퇴계선생문집,46권24책,달서구,달서구 달구벌대로1095 계명대학교,2016-02-22
보물,1904,김천 갈항사지 동.서 삼층석탑 출토 사리장엄구,"사리기 4점,준제다라니 1점",수성구,수성구 청호로321(황금동) 국립대구박물관,2016-07-01
보물,1946,신한첩 곤,1첩,달서구,달서구 달구벌대로1095 계명대학교,2010-01-04
보물,1999,대구 동화사 목조아미타여래삼존상,"불상3구,대좌3점,발원문1점,시주질1점",동구,동구 동화사 1길 1(도학동),2018-10-04
보물,2017,경산 신대리 1호 목관묘 출토 청동호랑이모양 띠고리,1점,수성구,수성구 청호로321,2019-03-06
보물,2030,"신편유취대동시림 권9~11,31~39",12권3책,달서구,달서구 달구벌대로1095 계명대학교,2019-06-26
보물,2053,달성 하목정,144㎡,달성군,달성군 하빈면 하산리 1043-1,2019-12-30
사적,62,대구 달성,"127,010㎡",중구,중구 달성공원로35,1963-01-21
사적,262,대구 불로동 고분군,"312,239㎡",동구,동구 불로동 335 일대,1978-06-23
사적,290,대구 계산동성당,"4,137㎡(지정구역879/보호구역3,258)",중구,중구 서성로10,1981-09-25
사적,411,대구 진천동 입석,"6,187㎡(지정구역3,946/보호구역2,232)",달서구,달서구 진천동 470-38 외,1998-12-23
사적,442,구 대구의학전문학교 본관,"1,580㎡",중구,중구 국채보상로 680,2003-01-28
사적,443,구 도립대구병원,"1,256㎡",중구,중구 동덕로 130,2003-01-28
사적,488,달성 도동서원,"8,891㎡",달성군,달성군 구지면 도동서원로 1,2007-10-05
사적,538,대구 경상감영지,"14,678.7㎡",중구,중구 경상감영길99(포정동 21),2017-04-26
사적,544,대구 구암동 고분군,"428,509㎡",북구,북구 구암동 392번지 일원,2018-08-07
천연기념물,1,대구 도동 측백나무 숲,"35,603㎡",동구,동구 도동 산180번지,1962-12-03
천연기념물,435,달성 비슬산 암괴류,"992,979㎡",달성군,달성군 유가면 용리 산1번지 외,2003-12-13
국가민속문화재,104,달성 삼가헌 고택,1곽,달성군,달성군 하빈면 묘동4길15 (묘리),1979-12-31
국가민속문화재,200,달성 조길방 고택,1동,달성군,달성군 가창면 조길방길 92-1(정대1리),1984-12-24
국가민속문화재,220,영조대왕의 도포,1점,동구,동구 파계로 741,1987-11-23
국가민속문화재,229,진주하씨 묘 출토유물,일괄(249점),수성구,수성구 청호로321(황금동),1993-07-20
국가민속문화재,261,대구 백불암 고택,"1곽(3,095㎡)",동구,동구 옻골로195-5 일원(둔산동),2009-06-19
국가무형문화재,55,소목장,엄태조,동구,동구 일원,2014-09-16
국가무형문화재,35,조각장,김용운,수성구,수성구 일원,2017-12-29
유형문화재,1,선화당,1동,중구,중구 경상감영길 99(포정동),1982-03-04
유형문화재,2,징청각,1동,중구,중구 경상감영길 99(포정동),1982-03-04
유형문화재,3,팔공산마애약사여래좌상,1구,동구,동구 용수동 산1번지,1982-03-04
유형문화재,4,영영축성비,1기,수성구,수성구 팔현길 248 영남제일관,1982-03-04
유형문화재,5,대구부수성비,1기,수성구,수성구 팔현길 248 영남제일관,1982-03-04
유형문화재,6,북지장사삼층석탑,2기,동구,동구 도장길 243(도학동),1982-03-04
유형문화재,8,봉무정,1동,동구,동구 팔공로 327-7(봉무동),1984-07-25
유형문화재,9,성재서당,1동,동구,동구 미대길 120(미대동),1984-07-25
유형문화재,11,동화사극락전,1동,동구,동구 동화사 1길 1(도학동),1986-12-05
유형문화재,12,동화사부도군,10기,동구,동구 동화사 1길 1(도학동),1986-12-05
